what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1410378996631
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1410378996632
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1410378996632
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1410378996633
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1410378996633
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1410378996670
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1410378996671
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1410378996707
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1410378996707
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1410378996753
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1410378996754
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1410378996795
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1410378996815
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1410378996878
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1410378996879
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1410378996880
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1410378996880
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1410378996928
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1410378996948
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1410378996949
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1410378996949
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1410378996993
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1410378996994
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1410378996995
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1410378996996
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1410378996996
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1410378996997
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1410378996998
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1410378997073
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1410378997073
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1410378997074
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1410378997075
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1410378997076
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1410378997076
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1410378997077
os,sysinfo,,,"win32",1410378997079
arch,sysinfo,,,"x86_64",1410378997079
ws,sysinfo,,,"win32",1410378997079
locale,sysinfo,,,"en_CA",1410378997079
processors,sysinfo,,,"4",1410378997079
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1410378997079
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1410378997079
java.specification.name,sysinfo,,,"Java Platform API Specification",1410378997079
java.specification.vendor,sysinfo,,,"Oracle Corporation",1410378997079
java.specification.version,sysinfo,,,"1.7",1410378997079
java.vendor,sysinfo,,,"Oracle Corporation",1410378997079
java.version,sysinfo,,,"1.7.0_51",1410378997079
java.vm.info,sysinfo,,,"mixed mode",1410378997079
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1410378997079
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1410378997079
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1410378997079
java.vm.specification.version,sysinfo,,,"1.7",1410378997079
java.vm.vendor,sysinfo,,,"Oracle Corporation",1410378997079
java.vm.version,sysinfo,,,"24.51-b03",1410378997079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410379001553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410379013110
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410379014096
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1410379017627
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1410379017717
